sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
AHA_ASH,723612,443733,323312,120421,147406,0.97,348,3,132,73191
AHA_BEE,524256,308521,217646,90875,88846,0.97,183,3,91,44072
AHA_BET,467102,327315,261818,65497,131466,0.97,151,3,82,64815
AHA_HAZ,426490,259228,195804,63424,62558,0.97,128,3,68,30646
AHA_OAK,714668,492930,392972,99958,192260,0.97,269,3,115,95569
AHB_ASH,754684,549827,457640,92187,225012,0.97,85,3,41,111647
AHB_BEE,680630,358242,225964,132278,88136,0.97,147,3,59,43746
AHB_BET,401220,281263,224500,56763,108680,0.97,120,3,63,53819
AHB_OAK,100072,63821,47244,16577,26556,0.97,106,3,50,13067
AHC_ASH,692906,494393,405576,88817,185212,0.97,91,3,41,92511
AHC_BET,862860,614353,505170,109183,291576,0.97,53,3,24,144780
AHC_HAZ,512824,361252,293404,67848,131766,0.97,272,3,136,65402
AHC_OAK,857324,592993,478948,114045,208242,0.97,115,3,53,103615
BWA_ASH,711344,501452,403012,98440,220208,0.97,142,3,66,109089
BWA_BEE,808786,533911,422420,111491,140572,0.97,327,3,101,69845
BWA_BET,508876,359131,293020,66111,148568,0.97,391,3,172,73344
BWA_HAZ,507280,310866,227906,82960,106040,0.97,272,3,105,52655
BWA_OAK,877634,577612,458152,119460,222452,0.97,636,3,250,110030
BWB_ASH,851964,547001,408630,138371,206718,0.97,281,3,125,102699
BWB_BEE,501262,285000,195534,89466,77118,0.97,359,3,144,38044
BWB_BET,830296,586759,474892,111867,251358,0.97,73,3,29,124285
BWB_HAZ,644792,400358,295542,104816,129934,0.97,416,3,172,64317
BWB_OAK,907320,533201,373722,159479,140288,0.97,433,3,160,69556
BWC_ASH,407304,258159,190718,67441,95400,0.97,283,3,117,47272
BWC_BEE,432762,265217,193154,72063,78988,0.97,198,3,85,39115
BWC_BET,806452,573033,467454,105579,242940,0.97,150,3,65,120131
BWC_HAZ,589864,345909,233710,112199,99912,0.97,285,3,138,49559
BWC_OAK,700722,494354,404190,90164,211580,0.97,687,3,274,105043
THA_ASH,759954,522978,427894,95084,193626,0.97,135,3,55,96599
THA_BEE,415032,291824,234070,57754,118928,0.97,302,3,119,58525
THA_BET,889826,634411,518520,115891,248226,0.97,229,3,114,122951
THA_OAK,454014,325766,269270,56496,137972,0.97,220,3,104,68157
THB_ASH,864018,518539,381910,136629,163976,0.97,293,3,152,81436
THB_BEE,497144,313434,227860,85574,98536,0.97,320,3,137,48616
THB_BET,592810,418893,338434,80459,184568,0.97,135,3,53,91324
THB_OAK,826324,546812,417006,129806,190794,0.97,284,3,114,95114
THC_ASH,731000,483273,391784,91489,182434,0.97,19,3,9,90919
THC_BEE,634476,463833,381412,82421,233606,0.97,62,3,19,114215
THC_OAK,604274,388820,298004,90816,160156,0.97,180,3,73,79602
